fiyat,ekran_boyutu,islemci_cekirdek_sayisi,islemci_hizi,disk_tipi,ram_tipi,gpu_model,parmak_izi_okuyucu,isletim_sistemi,ekran_cozunurluk,ram_miktari,gpu_miktari,disk_kapasitesi,hdmi,marka
32499,17.3,14,3.5,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,32,6,1024,Var,Monster
29498,16.1,14,3.5,SSD,DDR5,Paylasimsiz,Yok,Freedos,1920 x 1080,16,6,1024,Var,HP
25899,17.3,8,2.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,6,500,Var,Monster
21219,16.1,12,3.3,SSD,DDR5,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4,512,Var,HP
11999,15.6,4,2.4,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,8,2,512,Var,Acer
18699,15.6,6,2.6,SSD,DDR4,Paylasimsiz,Yok,Linux,1920 x 1080,16,4,512,Var,Dell
19549,15.6,6,2.7,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4,500,Var,Monster
24499,15.6,14,3.5,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4,1024,Var,HP
25526,15.6,14,3.5,SSD,DDR4,Paylasimsiz,Yok,Linux,1920 x 1080,16,4,512,Yok,Dell
31399,15.6,8,3.2,SSD,DDR5,Paylasimsiz,Yok,Freedos,1920 x 1080,16,6,512,Var,Asus
24949,17.3,14,3.5,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4,1024,Var,Monster
11359,15.6,4,1,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,8,2,256,Var,Asus
19999,15.6,12,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4,500,Var,Monster
23899,17.3,14,3.5,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4,500,Var,Monster
15899,15.6,4,2.5,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,8,4,512,Var,Asus
18334,15.6,8,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4,500,Var,Casper
19779,15.6,12,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4,500,Var,Monster
15149,15.6,6,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,8,4,512,Var,Acer
24699,15.6,8,2.9,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4,1024,Var,Asus
20199,15.6,12,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4,1024,Var,Monster
18799,15.6,6,2.7,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,8,4,500,Var,Monster
31199,15.6,8,2.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,8,512,Var,Acer
22449,17.3,12,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4,500,Var,Monster
27699,16.1,14,3.5,SSD,DDR5,Paylasimsiz,Yok,Freedos,1920 x 1080,16,6,512,Var,HP
19009,15.6,8,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4,1024,Var,Casper
20249,15.6,12,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4,1024,Var,HP
16299,15.6,4,2.5,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,8,4,512,Yok,Asus
17949,16.1,12,3.3,SSD,DDR5,Paylasimsiz,Yok,Freedos,1920 x 1080,8,4,512,Var,HP
21399,16.1,12,3.3,SSD,DDR5,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4,512,Var,HP
18799,15.6,6,2.7,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4,500,Var,Monster
20939,15.6,8,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,32,4,1024,Var,Casper
16895,15.6,8,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4,500,Var,Casper
18239,15.6,8,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4,500,Var,Casper
25999,15.6,14,3.5,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4,512,Var,Acer
18349,16.1,6,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,8,4,512,Var,HP
25698,14,8,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4,1024,Var,Asus
11699,15.6,4,2.4,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,8,2,256,Var,Asus
19289,15.6,12,3.3,SSD,other_ram,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4,512,Yok,Asus
23599,16.1,14,3.5,SSD,DDR5,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4,512,Var,HP
19974,15.6,8,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4,1024,Var,Casper
18999,15.6,6,2.7,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,8,4,512,Var,Asus
22099,15.6,8,2.9,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4,512,Var,Asus
16549,15.6,4,2.5,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,8,4,512,Var,Asus
23599,17.3,12,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4,1024,Var,Monster
22749,15.6,8,2.9,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4,1024,Var,Asus
28688,15.6,14,3.5,SSD,DDR5,Paylasimsiz,Yok,Linux,1920 x 1080,16,6,512,Yok,Dell
21229,13.3,4,2.8,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,16,2,512,Yok,HP
12999,15.6,4,1.6,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,8,2,512,Var,Lenovo
29299,15.6,8,3.2,SSD,DDR5,Paylasimsiz,Yok,Freedos,1920 x 1080,16,6,512,Var,Asus
13412,15.6,4,2.4,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,8,2,256,Var,HP
20399,15.6,6,3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4,512,Yok,Asus
24299,15.6,14,3.5,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4,1024,Var,HP
20939,15.6,6,2.7,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,16,4,500,Var,Monster
13669,15.6,10,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,2,512,Var,HP
30719,17.3,14,3.5,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,16,6,500,Var,Monster
23279,17.3,14,3.5,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,8,4,500,Var,Monster
32037,17.3,14,3.5,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,16,6,1024,Var,Monster
22999,16.1,6,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,6,512,Var,HP
20377,15.6,4,1.2,SSD,DDR4,Paylasimsiz,Var,Freedos,1920 x 1080,16,2,512,Var,Lenovo
31699,15.6,8,3.2,SSD,DDR5,Paylasimsiz,Yok,Freedos,1920 x 1080,16,6,512,Var,Asus
19299,15.6,12,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,8,4,500,Var,Monster
21669,17.3,12,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,8,4,500,Var,Monster
16061,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Linux,1920 x 1080,8,2,256,Var,Dell
32630,17.3,8,3.2,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,8,512,Var,Acer
20069,15.6,12,3.3,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,16,4,500,Var,Monster
16114,15.6,6,3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4,512,Var,Asus
20249,16.1,12,3.3,SSD,DDR5,Paylasimsiz,Yok,Freedos,1920 x 1080,8,4,512,Var,HP
20499,15.6,8,3.2,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4,512,Var,Acer
46599,15.6,14,2.3,SSD,DDR5,Paylasimsiz,Yok,Freedos,2560 x 1440,32,8,1024,Var,Lenovo
19685,15.6,12,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4,1024,Var,Monster
19289,15.6,6,2.2,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,8,4,500,Var,Monster
25958,15.6,8,3.2,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,32,4,1024,Var,Lenovo
20199,15.6,8,3.2,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4,512,Var,Acer
18099,17.3,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,2,512,Var,Lenovo
