,fiyat,ekran_boyutu,islemci_cekirdek_sayisi,islemci_hizi,disk_tipi,ram_tipi,gpu_model,parmak_izi_okuyucu,isletim_sistemi,ekran_cozunurluk,ram_miktari,gpu_miktari,disk_kapasitesi,hdmi,marka
0,32499,17.3,14,3.5,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,32,6.0,1024,Var,Monster
1,29498,16.1,14,3.5,SSD,DDR5,Paylasimsiz,Yok,Freedos,1920 x 1080,16,6.0,1024,Var,HP
2,25899,17.3,8,2.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,6.0,500,Var,Monster
4,7922,23.8,4,3.2,HDD-SSD,DDR4,Paylasimli,Yok,Linux,1920 x 1080,16,4.0,1280,Yok,Aizen
5,9067,24,4,3.2,HDD-SSD,DDR4,Paylasimli,Yok,Linux,1920 x 1080,16,4.0,1280,Yok,Aizen
6,5369,Diðer,4,3.2,HDD-SSD,DDR4,Paylasimli,Yok,Freedos,1920 x 1080,16,4.0,1152,Yok,Diðer
7,11969,24,4,3.6,HDD-SSD,DDR4,Paylasimli,Yok,Freedos,1920 x 1080,16,4.0,1264,Yok,Biggamex
8,21219,16.1,12,3.3,SSD,DDR5,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,512,Var,HP
10,11999,15.6,4,2.4,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,8,2.0,512,Var,Acer
11,18699,15.6,6,2.6,SSD,DDR4,Paylasimsiz,Yok,Linux,1920 x 1080,16,4.0,512,Var,Dell
12,19549,15.6,6,2.7,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,500,Var,Monster
13,24499,15.6,14,3.5,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,1024,Var,HP
14,25526,15.6,14,3.5,SSD,DDR4,Paylasimsiz,Yok,Linux,1920 x 1080,16,4.0,512,Yok,Dell
15,31399,15.6,8,3.2,SSD,DDR5,Paylasimsiz,Yok,Freedos,1920 x 1080,16,6.0,512,Var,Asus
16,24949,17.3,14,3.5,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,1024,Var,Monster
17,11359,15.6,4,1.0,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,8,2.0,256,Var,Asus
19,19999,15.6,12,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,500,Var,Monster
20,23899,17.3,14,3.5,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,500,Var,Monster
21,15899,15.6,4,2.5,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,8,4.0,512,Var,Asus
24,18334,15.6,8,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,500,Var,Casper
25,19779,15.6,12,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,500,Var,Monster
26,15149,15.6,6,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,8,4.0,512,Var,Acer
27,24699,15.6,8,2.9,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,1024,Var,Asus
28,20199,15.6,12,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,1024,Var,Monster
29,18799,15.6,6,2.7,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,8,4.0,500,Var,Monster
30,31199,15.6,8,2.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,8.0,512,Var,Acer
31,22449,17.3,12,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,500,Var,Monster
32,27699,16.1,14,3.5,SSD,DDR5,Paylasimsiz,Yok,Freedos,1920 x 1080,16,6.0,512,Var,HP
33,19009,15.6,8,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,1024,Var,Casper
37,20249,15.6,12,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,1024,Var,HP
38,16299,15.6,4,2.5,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,8,4.0,512,Yok,Asus
39,17949,16.1,12,3.3,SSD,DDR5,Paylasimsiz,Yok,Freedos,1920 x 1080,8,4.0,512,Var,HP
40,21036,15.6,6,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,6.0,512,Var,Gigabyte
41,21399,16.1,12,3.3,SSD,DDR5,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,512,Var,HP
42,18799,15.6,6,2.7,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,500,Var,Monster
43,20939,15.6,8,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,32,4.0,1024,Var,Casper
47,16895,15.6,8,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,500,Var,Casper
48,18239,15.6,8,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,500,Var,Casper
49,25999,15.6,14,3.5,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,512,Var,Acer
50,18349,16.1,6,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,8,4.0,512,Var,HP
56,25698,14,8,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,random_cznrlk,16,4.0,1024,Var,Asus
59,11699,15.6,4,2.4,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,8,2.0,256,Var,Asus
61,19289,15.6,12,3.3,SSD,other_ram,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,512,Yok,Asus
62,23599,16.1,14,3.5,SSD,DDR5,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,512,Var,HP
